DB505,X2.0;REQ_LEVEL1_HMI
DB505,X2.1;REQ_LEVEL2_HMI
DB505,X2.2;REQ_LEVEL3_HMI
DB505,X2.3;REQ_LEVEL4_HMI
DB505,X2.4;REQ_LEVEL5_HMI
DB505,X2.5;REQ_LEVEL6_HMI
DB505,X2.6;REQ_LEVEL7_HMI
DB505,X2.7;REQ_LEVEL8_HMI
DB505,X3.0;REQ_LEVEL9_HMI
DB505,X3.1;MES_READY
DB505,X3.3;LIFE_BIT
DB505,X3.7;USER_NONE_HMI
DB505,S4.30;USER_NAME_HMI
DB505,S38.30;USER_NAME_IOT
DB505,INT70;USER_LEVEL_IOT
DB505,INT112;Data_StepCiclo
DB505,INT114;Data_StepScarico
DB505,REAL120;PROD_LOT_01
DB505,X124.2;PROD_SNAP
DB505,INT130;PROD_RESUME
DB505,INT132;PROD_TOUT
DB505,INT136;RUN_STATUS
DB505,INT138;ALRM_STATUS
DB505,INT140;PROD_STATUS
DB505,INT142;MES_TYPE
DB50,S238.40;RECIPE_MAC_DESCR
DB500,S48.30;LOT_DESCR
DB500,S80.30;LOT_NEXT_DESCR
DB500,DINT218;JOB_CODE
DB500,S222.40;MES_SET_RECIPE_NAME
DB500,S264.30;MES_SET_LOT_NAME
DB500,S296.30;MES_SET_LOT_NEXT_NAME
DB210,X48.3;Riemp_SelAblFlapLaterali
DB210,X48.4;Riemp_SelAblAgitatori
DB210,INT62;Riemp_Set_tPausaFlapLaterali
DB210,INT64;Riemp_Set_tLavoroFlapLaterali
DB210,REAL74;Riemp_RiempiSet
DB210,REAL78;Riemp_RiempiSetParz_Perc
DB210,REAL86;Riemp_Aspiratore_Set_spd1_riemp
DB210,X118.3;Mix_SelAblFlapLaterali
DB210,INT120;Mix_Mix_Time
DB210,INT132;Mix_Set_tPausaFlapLaterali
DB210,INT134;Mix_Set_tLavoroFlapLaterali
DB210,REAL144;Mix_Aspiratore_Set_spd1_mix
